STATION_NAME;NAT_ABBR;LATITUDE;LONGITUDE;XCOORD;YCOORD;ELEVATION
Stöckalp;STP;46.8;8.2812;664320;183550;1070
Sulgen;SUG;47.542;9.1791;731025;267175;445
Susch;SUS;46.755;10.083;802002;181593;1416
Säntis;SAE;47.249;9.3436;744200;234920;2502
Tamins;TAM;46.832;9.4069;750155;188614;667
Tavanasa;TAV;46.751;9.0452;722750;178980;800
Teufen, AR;TEU;47.388;9.3961;747784;250409;834
Thierrens;THI;46.703;6.7531;547570;172610;770
Thun;THU;46.75;7.5852;611201;177640;570
Thusis;THS;46.709;9.4417;753155;175089;672
Tiefencastel;TIC;46.664;9.5714;763205;170350;890
Torricella / Crana;CTO;46.076;8.8954;712695;103746;1002
Tour de Gourze;TDG;46.51;6.7409;546450;151240;915
Trogen;TRO;47.399;9.4546;752170;251770;975
Trun;TRU;46.744;9.0088;719985;178224;834
Tschiertschen;TST;46.82;9.6081;765538;187679;1273
Turbenthal;ZHTUR;47.434;8.8615;707340;254670;570
Uerikon;UER;47.236;8.7559;699740;232470;415
Ulrichen;ULR;46.505;8.3081;666740;150760;1345.87
Unterkulm;UNK;47.32;8.1111;650838;241212;454
Unterschächen;UNS;46.871;8.7753;701900;192000;1470
Urnerboden;URB;46.899;8.9171;712650;195250;1395
Urnäsch;URN;47.312;9.2798;739205;241765;825
Uster;UST;47.351;8.6922;694712;245206;438
Vaduz;VAD;47.127;9.5175;757719;221697;457.25
Valeyres-sous-Rances;VAR;46.753;6.5255;530230;178350;512
Vallorbe;VVI;46.713;6.3845;519400;174060;748
Vals;VLS;46.628;9.1887;734016;165552;1242
Vevey / Corseaux;VEV;46.471;6.8151;552106;146847;405
Villars-Tiercelin;VIT;46.622;6.7101;544198;163651;859
Vira, Gambarogno;VIG;46.143;8.8414;708384;111187;209
Visp;VIS;46.303;7.8429;631149;128020;639
Vrin;VRI;46.656;9.1035;727424;168526;1384
Vättis;VAE;46.909;9.4436;752732;197282;939
Wahlendorf;WDO;47.004;7.3367;592250;205940;760
Wald / Tanne;TAW;47.42;9.5197;757025;254230;1075
Waldegg;WAG;47.362;8.4566;676900;246180;550
Wasen im Emmental;WIE;47.045;7.8051;627850;210550;770
Weesen;WEE;47.132;9.0861;724983;221383;425
Weinfelden;WEF;47.568;9.1185;726403;269983;477
Weissfluhjoch;WFJ;46.833;9.8064;780615;189634;2691.24
Weisstannen;WET;46.988;9.3435;744900;205820;1010
Widnau;WID;47.369;9.6431;766485;248850;411
Wil, ZH;WBR;47.605;8.507;680340;273225;406
Wilchingen;WCH;47.668;8.4645;677050;280200;420
Wildhaus;WHA;47.201;9.3674;746129;229568;998
Wimmis;WIS;46.671;7.6638;617229;168864;648
Winterthur / Seen;WIN;47.475;8.7632;699845;259054;506
Wittnau;WIT;47.48;7.9685;639941;258983;463
Witzwil;WIW;46.999;7.0526;570636;205385;433
Wynau;WYN;47.255;7.7874;626400;233850;422
Wädenswil;WAE;47.221;8.6777;693847;230744;485.37
Yverdon-les-Bains;YVN;46.782;6.651;539855;181540;433
Zell / Rämismühle;ZHZEL;47.443;8.8148;703795;255605;524
Zermatt;ZER;46.029;7.7531;624350;97560;1638.35
Zernez;ZNZ;46.698;10.0896;802721;175275;1470
Zervreila;ZEV;46.579;9.1188;728780;159993;1738
Zugerberg;ZUB;47.144;8.5326;682975;222000;920
Zweisimmen;ZWE;46.551;7.3848;595870;155480;1015
Zwillikon;ZWK;47.29;8.4319;675138;238165;461
Zürich / Affoltern;REH;47.428;8.5179;681428;253546;443.53
Zürich / Fluntern;SMA;47.378;8.5657;685117;248066;555.95
Zürich / Kloten;KLO;47.48;8.5359;682710;259339;426.26
